"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Sep 03 10:33:50 GMT 2023","Sun Sep 03 10:33:57 GMT 2023","7468","Google Chrome","ui/registration.spec.ts","User Registration Suite","","","User is able to register a new account with valid data @smoke @regular","Register a new user via UI"
"passed","Sun Sep 03 10:34:01 GMT 2023","Sun Sep 03 10:34:03 GMT 2023","2654","Google Chrome","ui/search-product.spec.ts","Search products","","","The result list is empty if product doesn't exist @regular","The result list is empty if product doesn't exist"
"passed","Sun Sep 03 10:33:21 GMT 2023","Sun Sep 03 10:33:26 GMT 2023","4588","Google Chrome","ui/login.spec.ts","Authentication suite","","","Log in with invalid data @regular",""
"passed","Sun Sep 03 10:33:58 GMT 2023","Sun Sep 03 10:34:01 GMT 2023","3113","Google Chrome","ui/search-product.spec.ts","Search products","","","Searched product is displayed in the result list @regular","Searched product is displayed in the result list"
"passed","Sun Sep 03 10:33:26 GMT 2023","Sun Sep 03 10:33:29 GMT 2023","2796","Google Chrome","ui/login.spec.ts","Authentication suite","","","Log in with valid data @smoke @regular",""
