"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 12 21:05:35 GMT 2022","Tue Jul 12 21:05:38 GMT 2022","2711","chromium","example.spec.ts","Log in with incorrect data","","","user should see error message",""
"failed","Tue Jul 12 21:05:53 GMT 2022","Tue Jul 12 21:06:00 GMT 2022","7000","chromium","example.spec.ts","Log in with incorrect data","","","user should see error message when email is incorrect",""
