"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 06 11:12:48 GMT 2022","Sun Nov 06 11:12:53 GMT 2022","4827","Google Chrome","ui/login.spec.ts","Authentication suite","","","Log in with valid data @smoke @regular",""
"failed","Sun Nov 06 11:13:12 GMT 2022","Sun Nov 06 11:13:18 GMT 2022","6903","Google Chrome","ui/registration.spec.ts","User Registration Suite","","","User is able to register a new account with valid data @smoke @regular","Register a new user via UI"
