"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 16 14:00:27 GMT 2022","Sat Jul 16 14:00:28 GMT 2022","1669","Google Chrome","ui/search-product.spec.ts","Search products","","","Searched product is displayed in the result list","Searched product is displayed in the result list"
"passed","Sat Jul 16 14:00:28 GMT 2022","Sat Jul 16 14:00:30 GMT 2022","1576","Google Chrome","ui/search-product.spec.ts","Search products","","","The result list is empty if product doesn't exist","The result list is empty if product doesn't exist"
"passed","Sat Jul 16 14:00:23 GMT 2022","Sat Jul 16 14:00:25 GMT 2022","2199","Google Chrome","ui/login.spec.ts","Authentication suite","","","Log in with invalid data",""
"passed","Sat Jul 16 14:00:25 GMT 2022","Sat Jul 16 14:00:27 GMT 2022","1826","Google Chrome","ui/login.spec.ts","Authentication suite","","","Log in with valid data",""
