"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 06 11:02:08 GMT 2022","Sun Nov 06 11:02:10 GMT 2022","2477","Google Chrome","ui/login.spec.ts","Authentication suite","","","Log in with valid data @smoke @regular",""
"failed","Sun Nov 06 11:02:28 GMT 2022","Sun Nov 06 11:02:35 GMT 2022","7017","Google Chrome","ui/registration.spec.ts","User Registration Suite","","","User is able to register a new account with valid data @smoke @regular","Register a new user via UI"
"passed","Sun Nov 06 11:02:38 GMT 2022","Sun Nov 06 11:02:40 GMT 2022","2385","Google Chrome","ui/search-product.spec.ts","Search products","","","The result list is empty if product doesn't exist @regular","The result list is empty if product doesn't exist"
"passed","Sun Nov 06 11:02:35 GMT 2022","Sun Nov 06 11:02:38 GMT 2022","2694","Google Chrome","ui/search-product.spec.ts","Search products","","","Searched product is displayed in the result list @regular","Searched product is displayed in the result list"
"passed","Sun Nov 06 11:02:05 GMT 2022","Sun Nov 06 11:02:08 GMT 2022","2664","Google Chrome","ui/login.spec.ts","Authentication suite","","","Log in with invalid data @regular",""
