"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 24 22:42:50 GMT 2022","Sun Jul 24 22:42:52 GMT 2022","2764","Google Chrome","ui/login.spec.ts","Authentication suite","","","Log in with invalid data @regular",""
"passed","Sun Jul 24 22:42:52 GMT 2022","Sun Jul 24 22:42:54 GMT 2022","1990","Google Chrome","ui/login.spec.ts","Authentication suite","","","Log in with valid data @smoke @regular",""
"failed","Sun Jul 24 22:43:12 GMT 2022","Sun Jul 24 22:43:19 GMT 2022","6689","Google Chrome","ui/registration.spec.ts","User Registration Suite","","","User is able to register a new account with valid data @smoke @regular","Register a new user via UI"
"passed","Sun Jul 24 22:43:22 GMT 2022","Sun Jul 24 22:43:24 GMT 2022","1928","Google Chrome","ui/search-product.spec.ts","Search products","","","The result list is empty if product doesn't exist @regular","The result list is empty if product doesn't exist"
"passed","Sun Jul 24 22:43:20 GMT 2022","Sun Jul 24 22:43:22 GMT 2022","2187","Google Chrome","ui/search-product.spec.ts","Search products","","","Searched product is displayed in the result list @regular","Searched product is displayed in the result list"
